Gene	HumanOrtho	GSM4658803_SRR12164495_Control3_read1	GSM4658804_SRR12164496_Control1_read1	GSM4658805_SRR12164497_Control2_read1	GSM4658807_SRR12164499_Sample1_read1	GSM4658808_SRR12164500_Sample2_read1
ENSCSAG00000021935	NA	0	0	0	0	0
COL1A1	COL1A1	0.18	0.2	0.19	0.03	0.02
ENSCSAG00000027417	NA	0	0	0	0	0
CYP7B1	CYP7B1	1.37	1.49	1.17	0.35	0.24
LAT	LAT	21.18	19.05	19.77	6.25	6.52
CD28	CD28	0	0	0	0	0
ENSCSAG00000020734	NA	0	0	0	0	0
ERAP1	ERAP1	5.02	5.11	4.26	1.06	1.03
SNX27	SNX27	8.47	9.06	7.51	2.11	2.29
HIPK1	HIPK1	7.56	7.7	6.65	1.99	1.8
LRRN4CL	LRRN4CL	3.45	2.71	2.99	1.07	1.05
ENSCSAG00000027174	NA	0	0	0	0	0
MIR26B	MIR26B	0	0	0	0	0
EPB41L5	EPB41L5	7.43	7.01	6.05	1.46	1.6
JAZF1	JAZF1	1.06	1.08	1.06	0.77	0.43
PCBP4	PCBP4	5.84	5.69	5.04	1.41	1.43
TAS2R38	TAS2R38	0	0	0	0	0
NAALADL2	NAALADL2	0.26	0.23	0.25	0.07	0.03
CCNC	CCNC	4.83	4.58	4.29	0.92	0.85
RNF14	RNF14	4.82	4.81	4.29	1.24	0.93
POLE	POLE	5.49	6.22	4.8	1.5	1.49
TMEM41B	TMEM41B	9.21	8.52	8.32	1.76	1.49
SNORA23	SNORA23	936.06	971.67	891.86	1717.79	1606.8
NABP1	NABP1	1.19	1.07	0.93	0.41	0.61
ENSCSAG00000019667	NA	0	0	0	0	0
ENSCSAG00000016909	NA	13.21	12.17	12.17	4.95	4.94
ZBTB8OS	ZBTB8OS	6.87	6.46	6.03	0.85	1.17
ENSCSAG00000007640	CT45A3	0.06	0.1	0.03	0	0.1
SMARCC2	SMARCC2	20.43	21.2	18.47	3.94	4.35
NDUFV2	NDUFV2	29.5	27.83	25.76	6.07	6.25
ENSCSAG00000026132	NA	0	0	0	0	0
ENSCSAG00000027430	NA	0	0	0	0	0
ENSCSAG00000024351	NA	0	0	0	0	0
FAM200B	FAM200B	1	0.94	0.75	0.32	0.3
HIF1AN	HIF1AN	27.5	26.44	23.52	5.89	5.58
EXO5	EXO5	0.24	0.2	0.21	0	0
SLC6A1	SLC6A1	0	0	0	0	0
KDM2A	KDM2A	11.1	11.76	9.99	4.24	4.62
TECPR1	TECPR1	2.1	2.29	2.05	0.64	0.66
ENSCSAG00000020080	NA	0	0	0	0	0
CTRC	CTRC	0	0	0.02	0	0.11
NAAA	NAAA	0.02	0.05	0.01	0	0
COL4A4	COL4A4	4.25	4.9	3.95	1.08	1.35
CLEC12A	CLEC12A	0.02	0.04	0.03	0	0.01
ENSCSAG00000020157	NA	0	0	0	0	0
SULT1C3	SULT1C3	0	0	0	0	0
CLEC5A	CLEC5A	0	0	0	0	0
ENSCSAG00000019814	NA	0	0	0	0	0
CFAP97	CFAP97	4.39	4.16	3.54	0.99	1.17
CDK18	CDK18	5.11	5.27	4.62	2.62	2.45
PGAP4	PGAP4	11.16	11.13	10.11	3.03	3.04
ENSCSAG00000025250	NA	0	0	0	0	0
DUSP27	DUSP27	0.15	0.09	0.12	0.07	0.02
ENSCSAG00000019890	AC012157.1	0	0	0	0	0
ANGPTL8	ANGPTL8	1.24	1.14	1.27	0.3	0.13
GNG3	GNG3	0	0	0.47	0	0
ZNF823	ZNF823	1.6	1.75	1.31	0.67	0.78
ENSCSAG00000025111	NA	0	0	0	0	0
ZIC3	ZIC3	0	0	0	0	0
ECHDC3	ECHDC3	6.73	6.45	5.94	1.17	1.22
ENSCSAG00000012221	NA	0.55	0.6	0.5	0.13	0.12
TMEM60	TMEM60	4.22	4.29	3.7	0.8	0.18
MPV17	MPV17	15.15	14.85	13.01	3.11	2.86
OR10H2	OR10H2	0	0	0	0	0
ENSCSAG00000022072	NA	0	0	0	0	0
ENSCSAG00000006801	NA	0.03	0.02	0.01	0	0
ENSCSAG00000020847	AC136611.1	0	0	0	0	0
MTMR2	MTMR2	4.55	4.34	3.76	0.84	1.07
ENSCSAG00000001811	ZNF10	0.73	0.59	0.54	0.26	0.39
TK2	TK2	4.38	4.4	3.83	1.02	1.25
PDE7A	PDE7A	0.45	0.52	0.37	0.11	0.16
GALNT18	GALNT18	5.86	5.94	5.13	2	1.48
ENSCSAG00000019522	ATP5PO	114.03	113.91	107.13	22.69	24.98
OR5AR1	OR5AR1	0	0	0	0	0
CSNK2A2	CSNK2A2	17.07	16.93	14.53	7.19	7.57
AUH	AUH	0.91	0.85	0.7	0.23	0.27
OR5B2	OR5B2	0	0.02	0	0	0
ENSCSAG00000003959	NA	0	0	0.03	0	0
HSD11B2	HSD11B2	0.46	0.67	0.59	0.22	0.17
URI1	URI1	8.73	8.35	7.12	2.05	1.93
ENSCSAG00000027903	NA	0	0	0	0	0
ENSCSAG00000005372	AC008397.1	0.08	0.06	0.08	0	0
TDRD3	TDRD3	5.3	4.99	4.59	1.54	1.63
ENSCSAG00000027753	NA	0	0	0	0	0
GABARAP	GABARAP	116.16	112.44	101.21	34.49	31.54
DYRK1B	DYRK1B	3.32	3.26	2.89	1.17	1.07
INTS8	INTS8	5.13	5.2	4.57	1.02	1.1
ENSCSAG00000013075	MATR3	33.11	31.72	27.88	6.67	7.44
ABCG5	ABCG5	0	0.01	0	0	0
ANGPTL6	ANGPTL6	0.31	0.27	0.23	0.06	0.05
ENSCSAG00000005145	NA	0	0	0	0	0
BNC1	BNC1	0.01	0.01	0.01	0	0.02
ENSCSAG00000022297	NA	0	0	0	0	0
ENSCSAG00000021134	AL121924.1	0	0	0	0	0
ENSCSAG00000013553	NA	0	0.02	0	0	0
TAS2R13	TAS2R13	0	0	0	0	0
PCGF3	PCGF3	15.03	15.54	14.35	4.82	4.62
CARMIL3	CARMIL3	0.13	0.14	0.1	0.07	0.02
LILRB4	LILRB4	0	0	0	0	0
BEAN1	BEAN1	0.07	0.05	0.07	0.02	0.06
BAZ2B	BAZ2B	2.28	2.34	2.01	0.76	0.76
C2CD5	C2CD5	3.49	3.49	3.02	0.59	0.76
HMCN1	HMCN1	0.11	0.14	0.11	0.04	0.03
ENSCSAG00000018403	DLC1	1.34	1.38	1.33	0.51	0.83
EML1	EML1	7.9	7.53	6.64	1.67	1.54
RGCC	RGCC	0.15	0.14	0	0.56	0
ENSCSAG00000023692	NA	0	0	0	0	0
ZNF846	ZNF846	1.12	1.27	0.98	0.28	0.16
MIR495	MIR495	0	0	0	0	0
DICER1	DICER1	4.84	4.87	4	1.66	1.66
ENSCSAG00000004393	NA	0	0	0	0.16	0
ENSCSAG00000016114	NA	0	0	0	0	0
KIF1A	KIF1A	10.81	11.57	9.81	2.71	2.86
CABP5	CABP5	0	0	0	0.61	0.42
SLC26A2	SLC26A2	3.54	3.58	3.17	0.54	0.7
PEX11G	PEX11G	4.33	3.92	3.4	1.76	0.51
SMIM19	SMIM19	6.74	6.19	4.77	0.99	0.93
TMEM183A	TMEM183A	7.45	7.17	6.37	1.65	1.77
MRPS2	MRPS2	24.21	23.5	21.94	6.93	8.35
ETAA1	ETAA1	5.04	5.05	4.25	1.73	1.57
PTPRA	PTPRA	19.65	18.33	16.67	3.47	4.1
GEMIN5	GEMIN5	4.69	4.8	4.15	1.78	1.78
HOMER3	HOMER3	11.11	11.53	10.81	3.57	3.58
SLURP1	SLURP1	0	0	0	0	0
ENSCSAG00000024155	MIR518E	0	0	0	0	0
P2RY11	P2RY11	0.27	0.3	0.25	0.51	0.18
CSNK1D	CSNK1D	43.26	41.85	38.82	10.98	10.78
SLC6A6	SLC6A6	23.8	23.92	20.87	3.78	3.38
ENSCSAG00000024177	NA	0	0	0	0	0
TIMM29	TIMM29	11.74	12.27	11.2	3.15	3.71
GLRA3	GLRA3	0	0	0	0	0
PPP5C	PPP5C	21.72	21.61	20.12	4.82	5.65
TMX4	TMX4	17.18	16.11	14.91	2.69	3.37
ENSCSAG00000027797	NA	0	0	0	0	0
ENSCSAG00000010315	NA	0	0	0.09	0	0
PRKD2	PRKD2	6.09	6.24	5.26	2.14	2.06
ENSCSAG00000012297	LPA	0.11	0.1	0.12	0.02	0.05
ZBTB42	ZBTB42	3.39	3.05	2.76	0.77	0.9
PSPN	PSPN	0.11	0.11	0.04	0	0.13
ENSCSAG00000020631	NA	0	0	0	0	0
RIMS2	RIMS2	1.19	1.32	1.04	0.49	0.49
TBXT	TBXT	0	0	0	0	0
ENSCSAG00000018104	AC093668.1	3.52	4.28	3.4	2.17	2
ATP8B4	ATP8B4	0.04	0.05	0.06	0.02	0.01
ZBTB7A	ZBTB7A	6.22	6.36	5.84	2.17	2.29
TSG101	TSG101	13.57	13.09	11.39	2.78	3.73
AGBL5	AGBL5	8.94	8.55	7.28	1.87	1.79
ENSCSAG00000022979	NA	0	0	0	0	0
IGFALS	IGFALS	0.12	0.13	0.08	0.15	0
SWAP70	SWAP70	8.65	8.81	7.61	2.01	2.1
FMR1	FMR1	15.24	15.24	13.39	3.49	4.09
USP29	USP29	0	0	0	0	0
ENSCSAG00000025191	NA	0	0	0	0	0
FOXO1	FOXO1	3.51	3.84	3.3	2.26	2.33
KLHL7	KLHL7	4.25	4.09	3.61	0.9	0.73
ENSCSAG00000025138	NA	0	0	0	0	0
ENSCSAG00000008937	FBXW10	0	0	0	0.04	0.02
TRBV27	TRBV27	0	0	0	0	0
NPC2	NPC2	340.99	320.82	294.03	40.24	41.2
DCP1A	DCP1A	4.33	4.79	3.79	1.68	1.75
FOXC2	FOXC2	0.64	0.58	0.51	0.36	0.45
KCNJ15	KCNJ15	0.19	0.18	0.16	0.12	0.11
C1QBP	C1QBP	86.46	92.34	84.34	20.08	24.17
LRATD2	LRATD2	9.32	8.63	8.29	1.79	1.87
SPTBN4	SPTBN4	1.39	1.53	1.31	0.32	0.35
MXD1	MXD1	1.53	1.54	1.36	0.66	0.76
ZNF296	ZNF296	0.08	0.09	0.08	0	0
WHAMM	WHAMM	1.61	1.74	1.32	0.46	0.54
ATP1A4	ATP1A4	0	0	0	0.01	0
ENSCSAG00000021835	NA	0	0	0	0	0
ENSCSAG00000026522	NA	0	0	0	0	0
USP11	USP11	12.17	11.5	10.76	3.09	2.78
TWSG1	TWSG1	7.11	6.25	5.64	1.01	1.19
MIR562	MIR562	0	0	0	0	0
WDR83	WDR83	7.04	6.66	6.36	2.24	2.46
ENSCSAG00000014730	SPEGNB	0.01	0	0.01	0	0
DTD2	DTD2	11.21	12.35	9.24	2.49	2.29
EFEMP2	EFEMP2	0.5	0.54	0.54	0.09	0.18
SLC51B	SLC51B	0	0.01	0.01	0	0
REEP3	REEP3	22.18	20.24	18.42	5.34	4.86
ENSCSAG00000021196	NA	0	0	0	0	0
PGRMC2	PGRMC2	14.69	13.83	12.38	2.57	2.74
FKBP7	FKBP7	2.13	2.09	1.96	0.24	0.07
ID1	ID1	55.76	52.26	50.82	37.98	43.43
ENSCSAG00000025943	NA	0	0	0	0	0
ADD2	ADD2	0	0	0	0	0
MATN4	MATN4	0	0.02	0	0.16	0.21
ENSCSAG00000022787	NA	0	0	0	0	0
KDM3A	KDM3A	8.2	8.33	7.09	2.24	2.68
HYAL1	HYAL1	46.74	43.67	41.25	10.71	10.12
ENSCSAG00000005823	NA	0	0	0	0	0
PDXP	PDXP	4.5	4.53	4.33	1.78	1.65
ENSCSAG00000023373	NA	0	0	0	0	0
BAALC	BAALC	0	0	0	0	0
ECI2	ECI2	15.35	13.45	12.98	2.49	2.51
OR4D11	OR4D11	0	0	0	0	0
ENSCSAG00000017052	NA	0.04	0	0.03	0	0
ENSCSAG00000020652	NA	0	0	0	0	0
DEGS1	DEGS1	32.66	30.73	27.84	7.55	8.18
GJA9	GJA9	0.04	0.08	0.02	0.03	0.02
ENSCSAG00000003569	TRIM43	0	0	0	0.03	0
MAP2K6	MAP2K6	0.94	1.18	1.01	0.17	0.18
ENSCSAG00000015802	NA	1.55	1.51	1.51	0.5	0.34
FAF1	FAF1	3.5	3.4	3.11	1.15	1.28
RUFY2	RUFY2	3.78	3.32	2.7	0.69	0.88
ENSCSAG00000017664	NA	0.5	0.55	0.5	0.06	0.13
CYP19A1	CYP19A1	0.02	0.09	0.07	0.03	0
SWT1	SWT1	0.71	0.56	0.53	0.14	0.2
ENSCSAG00000022195	NA	0	0	0	0	0
ENSCSAG00000000402	TSR2	1.25	1.16	1.67	0.89	0.11
ZNF517	ZNF517	3.56	3.67	3.44	0.77	0.97
ALB	ALB	0.03	0.04	0.03	0.01	0.01
ENSCSAG00000024014	NA	0	0	0	0	0
ENSCSAG00000020018	AC079169.1	0	0	0	0	0
TMEM131L	TMEM131L	0.67	0.66	0.57	0.15	0.2
NXPE3	NXPE3	9.58	10.27	8.82	2.44	2.37
RELB	RELB	3.57	3.86	3.23	4.75	5.74
MIR511	MIR511	0	0	0	0	0
ENSCSAG00000027096	NA	0	0	0	0	0
TSGA10IP	TSGA10IP	0.04	0.01	0.02	0	0.02
ENSCSAG00000002126	NA	0	0	0	0	0
PLEKHO1	PLEKHO1	14.22	14.53	13.84	4.59	5.37
ENSCSAG00000009489	AC138647.1	0	0	0	0	0
ENSCSAG00000026114	NA	0	0	0	0	0
DMP1	DMP1	0	0	0	0	0
SNRNP35	SNRNP35	7.38	8.17	8.14	1.36	2.38
ENSCSAG00000019443	NA	6.1	7.43	5.88	3.25	2.15
TBC1D24	TBC1D24	3.96	4.41	3.95	0.92	1.02
SVIP	SVIP	9.72	8.55	7.84	1.48	1.38
ENSCSAG00000024992	NA	0	0	0	0	0
SH3GLB1	SH3GLB1	11.37	10.6	9.75	3.19	3.01
TRAV1-2	TRAV1-2	0	0	0	0	0
POPDC3	POPDC3	0.02	0	0.01	0	0
CCDC170	CCDC170	0	0	0	0	0
CCDC154	CCDC154	0.06	0.09	0.06	0.02	0.03
MAP3K11	MAP3K11	18.29	17.82	16.46	4.98	4.77
TBX6	TBX6	0.01	0.01	0.03	0	0
ZNF845	ZNF845	0.02	0.02	0.01	0	0.01
PRR13	PRR13	31.11	29.96	27.8	4.9	5.48
AVPR2	AVPR2	0	0	0	0	0
CCDC88B	CCDC88B	0.76	0.93	0.72	0.17	0.14
ZFHX2	ZFHX2	1.07	1.18	0.96	0.29	0.25
LGI3	LGI3	0.07	0.08	0.05	0	0.01
USP47	USP47	11.28	11.53	9.74	3.46	4.01
MAIP1	MAIP1	3.78	3.82	3.32	1.13	1.02
ENSCSAG00000022172	NA	0	0	0	0	0
SYT13	SYT13	0.03	0.03	0.02	0.01	0.01
ENSCSAG00000026949	NA	0	0	0	0	0
TTC14	TTC14	2.09	2.12	1.78	0.43	0.58
ENSCSAG00000013923	IGLV3-19	0	0	0	0	0
IAH1	IAH1	13.86	14.19	12.28	4.7	4.67
CCDC157	CCDC157	1.1	1.2	1	0.75	0.62
ENSCSAG00000018535	SCO1	8.18	7.2	6.28	2.16	1.51
ZNF200	ZNF200	2.95	2.85	2.71	0.77	1
RNF20	RNF20	9.7	9.64	8.32	2.22	2.17
ENSCSAG00000020677	NA	0	0	0	0	0
ENSCSAG00000021796	NA	0	0	0	0	0
TRAPPC13	TRAPPC13	2.83	2.94	2.74	1.19	1.16
ABI2	ABI2	5.45	5.43	4.08	1.51	1.22
LGALS13	LGALS13	0.07	0.42	0.11	0	0
MEAK7	MEAK7	1.12	1.06	0.96	0.11	0.16
KCNG2	KCNG2	0.06	0.07	0.09	0	0.11
SBSN	SBSN	0	0.03	0.01	0	0
SAP25	SAP25	0.15	0.32	0.16	0.08	0
ENSCSAG00000021474	AL442065.1	0	0	0	0	0
ENSCSAG00000020780	NA	0	0	0	0	0
RFC2	RFC2	13.09	12.99	11.71	2.67	2.85
POMGNT1	POMGNT1	9.38	9.01	8.75	2.27	2.36
ZDHHC5	ZDHHC5	12.15	11.9	10.8	2.97	2.97
SNX20	SNX20	0	0	0	0	0
ENSCSAG00000023637	AC061992.1	0	0	0	0	0
VRTN	VRTN	0.01	0.01	0.01	0	0
RIC3	RIC3	0	0	0	0	0
SDK1	SDK1	0	0	0	0	0
TWF1	TWF1	13.43	12.82	12.04	2.68	2.8
ENSCSAG00000018189	NA	0	0	0	0	0
ENSCSAG00000027885	FO393410.1	0	0	0	0	0
DAPL1	DAPL1	0	0	0	0	0
TRMT5	TRMT5	4.06	3.92	3.81	1	1.27
PAX7	PAX7	0	0	0	0	0
ENSCSAG00000020831	NA	0	0	0	0	0
SLC12A8	SLC12A8	0.01	0.01	0.01	0.04	0
PEX19	PEX19	15.64	15.51	13.42	2.08	2.66
HSD17B12	HSD17B12	11.31	10.67	9.5	2.26	1.93
KLHL21	KLHL21	5.45	5.73	5.52	2.14	2.02
ENSCSAG00000001781	AC243547.3	8.78	8.65	7.62	1.18	2.03
STARD7	STARD7	30.58	30.3	27.45	6.45	7.23
ENSCSAG00000000306	MRPL32	0	0	0	0	0
ENSCSAG00000019602	NA	0	0	0	0	0
HSD11B1L	HSD11B1L	2.91	2.69	2.56	0.47	0.47
MSRB2	MSRB2	9	8.37	7.74	1.15	1.34
NDRG4	NDRG4	3.83	3.7	3.49	1.09	0.93
ENSCSAG00000001742	NA	0.06	0.08	0.07	0	0.03
BPGM	BPGM	10.92	10.65	9.59	1.96	2.09
ENSCSAG00000019867	NA	0	0	0	0	0
MMP12	MMP12	0	0	0	0	0
SUZ12	SUZ12	11.31	11.01	9.59	3.12	3.81
ENSCSAG00000021502	NA	0	0	0	0	0
ENSCSAG00000023543	NA	0	0	0	0	0
ENSCSAG00000015730	NA	0	0	0	0	0
MMP13	MMP13	1.64	1.68	1.32	0.3	0.41
FANCD2	FANCD2	9.31	9.09	8.03	1.55	1.77
BNC2	BNC2	0.54	0.49	0.46	0.09	0.1
TUBB1	TUBB1	0.06	0.1	0.1	0.09	0.03
ENSCSAG00000026959	NA	0	0	0	0	0
MAGEB17	MAGEB17	0	0	0	0	0
CEP112	CEP112	4.13	4.14	3.36	1.25	1.28
ENSCSAG00000018009	AC012254.2	10.01	9.44	8.46	2.14	1.87
EEF2K	EEF2K	8.4	9	7.39	2.36	2.73
ENSCSAG00000011305	ZNF33B	1.09	1.28	1.03	0.26	0.31
PRKACA	PRKACA	18.17	18.16	14.88	3.18	3.54
AURKAIP1	AURKAIP1	41.33	40.77	38.35	10.27	9.11
RBP5	RBP5	0	0.15	0	0.19	0
TCIM	TCIM	0	0	0	0	0
DIP2C	DIP2C	2.62	2.83	2.39	1.74	1.68
DTWD2	DTWD2	2.9	3.38	2.69	0.47	0.68
FNDC4	FNDC4	9.54	9.33	8.76	1.94	2.06
AADAC	AADAC	0	0	0	0	0
NRF1	NRF1	1.94	2.03	1.77	1.12	1.08
ENSCSAG00000003891	IFNL3	0	0	0	0	0.17
CELSR2	CELSR2	18.59	19.95	16.51	4.68	4.2
SLC25A47	SLC25A47	0	0.04	0.01	0	0.14
NCMAP	NCMAP	0.32	0.61	0.13	0	0
FN3K	FN3K	4.26	3.36	3.33	0.33	0.74
PTGDR2	PTGDR2	0.06	0.08	0.05	0.04	0.03
ENSCSAG00000024406	NA	0	0	0	0	0
ENSCSAG00000021595	NA	0	0	0	0	0
ENSCSAG00000022592	NA	0	0	0	0	0
TRIB2	TRIB2	0.47	0.55	0.49	0.03	0.06
SCT	SCT	0	0	0	0	0
ENSCSAG00000021546	NA	0	0	0	0	0
FUT8	FUT8	1.6	1.63	1.36	0.4	0.32
MIR127	MIR127	0	0	0	0	0
HNMT	HNMT	0.13	0.15	0.15	0.04	0.02
TRIB1	TRIB1	11.76	10.89	10.28	4.29	3.65
SNORA68	SNORA68	0	0	0	0	0
ERBB3	ERBB3	0.63	0.55	0.49	0.09	0.11
SPINT2	SPINT2	25.23	24.09	21.84	5.45	5.32
KTN1	KTN1	30.92	30.83	27.62	6.82	7.32
KMT2D	KMT2D	5.9	7.85	5.71	2.33	2.41
ENSCSAG00000018596	NA	0.03	0.21	0.06	0.07	0.13
KLHDC4	KLHDC4	8.36	8.2	8.09	2.33	2.37
CASC1	CASC1	0.63	0.54	0.38	0.13	0.04
ENSCSAG00000020007	NA	0	0	0	0	0
FAM131C	FAM131C	1.59	1.52	1.42	0.55	0.44
RASAL1	RASAL1	0.35	0.29	0.33	0.1	0.09
ENSCSAG00000004215	NA	0	0	0	0	0
RRP1B	RRP1B	8.86	8.63	8.02	2.59	2.63
PLPPR3	PLPPR3	0.17	0.2	0.12	0.11	0.08
LLGL2	LLGL2	12.17	11.73	11.02	2.97	2.39
ENSCSAG00000021213	NA	0	0	0	0	0
ABO	ABO	0.09	0.04	0.08	0.04	0
PKMYT1	PKMYT1	11.29	12.37	11.02	4.8	3.76
ENSCSAG00000026623	NA	0	0	0	0	0
POU5F2	POU5F2	0.02	0.02	0.04	0	0
DDX42	DDX42	21.8	21.39	18.32	6.39	5.69
CMPK1	CMPK1	14.53	13.7	12.41	2.69	2.93
ENSCSAG00000009444	NA	25.35	24.75	21.55	6.24	5.84
WDR35	WDR35	8.05	8.08	6.75	1.66	1.71
ENSCSAG00000026031	NA	0	0	0	0	0
RNF135	RNF135	4.28	4.23	3.71	0.94	0.86
ENSCSAG00000018022	NA	0.1	0.12	0.18	0.11	0
SDR9C7	SDR9C7	0.04	0.02	0.06	0	0
GJD3	GJD3	1.83	2.02	1.55	0.79	0.52
SNORA18	SNORA18	0	0	0	0	0
ARHGEF40	ARHGEF40	8.96	8.58	7.78	2.42	2.46
TOR1AIP1	TOR1AIP1	6.6	6.45	5.5	1.14	1.46
OR56A4	OR56A4	0	0	0	0	0
ENSCSAG00000013330	SSBP3	1.96	2.18	2.07	0.44	0.5
ENSCSAG00000027282	NA	0	0	0	0	0
ENSCSAG00000026857	NA	0	0	0	0	0
ENSCSAG00000024233	NA	0	0	0	0	0
DGKD	DGKD	9.52	9.7	8.57	4.16	3.84
SNORD88C	SNORD88C	0	0	0	0	0
ZBTB2	ZBTB2	1.25	1.24	1.11	1.01	0.92
NOVA1	NOVA1	0.3	0.24	0.22	0.09	0.06
ENSCSAG00000025718	NA	0	0	0	0	0
SAMSN1	SAMSN1	0	0	0	0	0
ENSCSAG00000011316	NA	1.16	1.06	0.91	0.2	0.26
ENSCSAG00000022590	NA	0	0	0	0	0
ENSCSAG00000025734	NA	0	0	0	0	0
ENSCSAG00000016291	LEFTY1	0.32	0.09	0.18	0.12	0
PALM	PALM	24.51	23.61	22.39	6.15	6.29
PTH	PTH	0	0	0	0	0
ARL1	ARL1	12.26	11.47	10.06	2.01	2.17
MYOM3	MYOM3	0.33	0.38	0.39	0.17	0.16
B3GAT1	B3GAT1	0.02	0	0	0	0
RGS14	RGS14	9.13	8.91	8.22	2.35	2.7
FAM50B	FAM50B	7.25	7.43	7.42	2.25	1.08
PAF1	PAF1	10.58	10.59	9.28	3.09	2.96
RGS16	RGS16	0.01	0.02	0.02	0	0.01
ZNF703	ZNF703	0.49	0.48	0.42	0.3	0.31
OR6N2	OR6N2	0	0	0	0	0
ERICH2	ERICH2	2.06	1.56	1.45	0.29	0.52
MAPK8IP3	MAPK8IP3	4.99	5.33	4.55	1.37	1.17
NDUFB11	NDUFB11	22.05	20.43	19.39	4.3	4.44
ENSCSAG00000027054	NA	0	0	0	0	0
ENSCSAG00000025653	NA	0	0	0	0	0
PUM1	PUM1	14.13	14.14	12.07	4.96	5.39
CYP4V2	CYP4V2	1.52	1.47	1.31	0.19	0.25
ZBTB32	ZBTB32	0.3	0.31	0.22	0.11	0.13
DPP7	DPP7	36.18	33.78	32.79	9.06	8.76
FUT11	FUT11	12.08	11.65	10.43	2.61	2.57
AFF4	AFF4	17.11	17.44	14.68	7.01	7.53
NCK2	NCK2	11.32	10.73	10.04	4.22	3.78
OSTF1	OSTF1	5.93	5.58	4.93	1.09	1.06
RIMS4	RIMS4	0.27	0.34	0.26	0.12	0.06
ENSCSAG00000013577	TAX1BP3	5.86	5.7	5.12	1.99	1.78
MAST1	MAST1	1.1	1.11	1	0.82	0.69
MCM5	MCM5	30.17	29.91	27.24	6	6.31
ENSCSAG00000021310	NA	0	0	0	0	0
ENSCSAG00000020292	NA	0	0	0	0	0
MTF1	MTF1	2.33	2.33	1.86	1.17	0.91
CYTH2	CYTH2	5.07	4.66	4.48	1.65	1.62
ENSCSAG00000021095	NA	0	0	0	0	0
ENSCSAG00000020914	NA	0	0	0	0	0
ETFB	ETFB	27.59	26.65	26.13	5.37	5.4
ENSCSAG00000023102	NA	0	0	0	0	0
IDH3G	IDH3G	9.04	8.92	8.28	1.93	1.79
LAP3	LAP3	20.14	20.23	19.36	4.87	4.34
ZBTB38	ZBTB38	18.16	18.33	15.84	4.55	5.02
TMEM134	TMEM134	7.18	5.89	6.02	1.54	1.24
ENSCSAG00000019029	KRTAP2-4	0	0	0.03	0	0
OR5D14	OR5D14	0	0	0	0	0
ENSCSAG00000005312	NA	3.2	3.48	3.25	1.06	1.14
DDX23	DDX23	17.47	17.25	16.1	5.52	5.99
KCNK18	KCNK18	0	0	0	0	0
ENSCSAG00000023659	NA	0	0	0	0	0
TREH	TREH	0.05	0.09	0.06	0	0.02
HHIPL1	HHIPL1	0.02	0	0	0	0
ZNF449	ZNF449	1.09	1.2	0.86	0.23	0.29
CD300LB	CD300LB	0	0	0	0	0
ANO8	ANO8	4.32	4.17	3.8	1.04	1.23
ZPLD1	ZPLD1	0.26	0.18	0.16	0.03	0.03
ENSCSAG00000003137	NA	0	0	0	0	0
ENSCSAG00000021503	NA	0	0	0	0	0
JAM3	JAM3	4.64	4.32	3.6	1.1	0.76
ENSCSAG00000026438	NA	0	0	0	0	0
OR4E2	OR4E2	0	0	0	0	0
CASTOR1	CASTOR1	1.9	1.7	1.6	0.61	0.81
SSBP4	SSBP4	6.43	6.32	5.91	1.42	1.26
MOG	MOG	0.14	0.12	0.1	0.06	0.06
ETNK2	ETNK2	5.41	4.92	4.59	1	0.92
ENSCSAG00000010759	ALDH9A1	18.2	17.06	15.53	4.01	3.75
ENSCSAG00000026276	AL354980.1	0	0	0	0	0
ENSCSAG00000021878	NA	0	0	0	0	0
ENSCSAG00000011209	NA	0.45	0.31	0.32	0.17	0.13
WDR72	WDR72	0	0	0	0	0
SIX4	SIX4	1.46	1.56	1.4	0.83	0.73
ASAH1	ASAH1	17.39	15.88	14.19	2.52	2.55
ENSCSAG00000023672	NA	0	0	0	0	0
KIAA1614	KIAA1614	0	0.01	0.01	0.05	0
UPP1	UPP1	8.98	9.23	8.6	3.22	2.63
MYRIP	MYRIP	0.05	0.06	0.07	0.05	0.01
MIR497	MIR497	0	0	0	0	0
C1orf216	C1orf216	4.98	4.21	4.39	0.98	1.32
ENSCSAG00000022325	NA	0	0	0	0	0
IL11	IL11	16.21	16.11	16.43	27.06	32.15
INHBA	INHBA	65.75	75.18	67.69	51.55	55.44
ENSCSAG00000000241	NA	0.02	0	0	0	0
NUDT14	NUDT14	10.34	9.36	8.83	1.8	1.86
MRPL28	MRPL28	53.13	52.81	49.2	11.47	12.14
ENSCSAG00000009479	NA	0.07	0.04	0.14	0.1	0.07
FBL	FBL	88.64	85.24	78.86	30.46	30.36
ENSCSAG00000004919	NA	0	0	0	0	0
OR51I2	OR51I2	0	0	0	0	0
ENSCSAG00000017562	AK2	0.09	0.06	0.18	0.08	0.14
ENSCSAG00000019168	NA	0.21	0.78	0.31	0	0
MYF6	MYF6	0	0	0	0	0
ENSCSAG00000020709	NA	0	0	0	0	0
OR13C9	OR13C9	0.04	0.07	0	0	0
STARD13	STARD13	5.36	6.1	5.33	3.84	4.18
CCDC166	CCDC166	0	0	0	0	0.03
ENSCSAG00000018731	NA	408.2	396.6	363.49	281.58	277.46
SMAD6	SMAD6	4.47	4.57	4.21	2.2	2.55
