gene	logFC	p_val	pval_adj	cell
LINC01122	2.46	2.70E-08	0.001643447	Neuroendocrine_SS2
ZDHHC14	1.27	2.83E-08	0.001725355	Neuroendocrine_SS2
GSTO1	1.2	2.88E-08	0.00175449	Neuroendocrine_SS2
TMEM59L	2.14	3.08E-08	0.001876659	Neuroendocrine_SS2
RIMKLA	1.18	3.16E-08	0.001929192	Neuroendocrine_SS2
AL161658.1	2.61	3.22E-08	0.001962878	Neuroendocrine_SS2
PCDHB16	2.28	3.26E-08	0.001989485	Neuroendocrine_SS2
FAM200B	1.15	3.45E-08	0.002104526	Neuroendocrine_SS2
ABAT	1.06	3.48E-08	0.002123177	Neuroendocrine_SS2
LMO2	1.62	3.49E-08	0.00212929	Neuroendocrine_SS2
PTPRH	3.29	3.92E-08	0.002391012	Neuroendocrine_SS2
AC022893.2	2.5	3.95E-08	0.002410326	Neuroendocrine_SS2
HEPACAM2	3.44	3.97E-08	0.002417544	Neuroendocrine_SS2
MAPT1	1.16	3.98E-08	0.002425995	Neuroendocrine_SS2
DGUOK	1.21	4.07E-08	0.002482514	Neuroendocrine_SS2
SH3PXD2A	1.76	4.07E-08	0.002484058	Neuroendocrine_SS2
RNF19A	0.61	4.37E-08	0.002662727	Neuroendocrine_SS2
CACNB2	2.29	4.45E-08	0.002711907	Neuroendocrine_SS2
SPTBN4	2.46	4.56E-08	0.002779791	Neuroendocrine_SS2
STAC	2.16	4.77E-08	0.002909016	Neuroendocrine_SS2
N4BP3	2.94	5.03E-08	0.003064036	Neuroendocrine_SS2
PAM	1.36	5.17E-08	0.003149675	Neuroendocrine_SS2
HDAC9	2.33	5.24E-08	0.003196083	Neuroendocrine_SS2
UCK2	1.72	5.36E-08	0.003267867	Neuroendocrine_SS2
ZSCAN16-AS1	1.35	5.50E-08	0.003355562	Neuroendocrine_SS2
GABPB1-AS1	0.5	5.52E-08	0.003364386	Neuroendocrine_SS2
DGKE	2.86	5.87E-08	0.003581745	Neuroendocrine_SS2
RGS2	1.98	5.93E-08	0.003617586	Neuroendocrine_SS2
FOXP4	0.89	6.21E-08	0.003783701	Neuroendocrine_SS2
GPRIN3	2.6	6.22E-08	0.003793675	Neuroendocrine_SS2
RPH3A	2.58	6.36E-08	0.00387918	Neuroendocrine_SS2
KSR2	1.3	6.59E-08	0.004020172	Neuroendocrine_SS2
PGBD5	2.65	6.65E-08	0.00405554	Neuroendocrine_SS2
SNHG21	1.6	6.65E-08	0.004056011	Neuroendocrine_SS2
RAB6B	2.65	6.86E-08	0.00418426	Neuroendocrine_SS2
AL356413.1	2.54	7.05E-08	0.004300939	Neuroendocrine_SS2
SLC38A1	0.87	7.10E-08	0.004326553	Neuroendocrine_SS2
ABCC8	1.51	7.11E-08	0.004337027	Neuroendocrine_SS2
AC092427.1	2	7.18E-08	0.004380449	Neuroendocrine_SS2
KIF19	0.98	7.20E-08	0.004387477	Neuroendocrine_SS2
ZMYND8	0.9	7.68E-08	0.004681325	Neuroendocrine_SS2
PSD	1.86	7.73E-08	0.004713264	Neuroendocrine_SS2
TRIM9	2.78	7.75E-08	0.004724671	Neuroendocrine_SS2
EEF1A2	2.05	7.76E-08	0.004731967	Neuroendocrine_SS2
WNK2	2.33	8.01E-08	0.004884843	Neuroendocrine_SS2
AC114936.2	1.56	8.07E-08	0.004919008	Neuroendocrine_SS2
TPD52	1.06	8.26E-08	0.00503525	Neuroendocrine_SS2
CRTC1	1.79	8.52E-08	0.005192954	Neuroendocrine_SS2
BEX3	0.91	8.77E-08	0.005346977	Neuroendocrine_SS2
MRPS26	1.33	8.91E-08	0.005431741	Neuroendocrine_SS2
LINC01954	1.87	9.01E-08	0.005491901	Neuroendocrine_SS2
AC021915.1	2.64	9.01E-08	0.005491901	Neuroendocrine_SS2
AC097504.1	1.13	9.01E-08	0.005491901	Neuroendocrine_SS2
FLJ16779	3.16	9.01E-08	0.005491901	Neuroendocrine_SS2
AP001636.3	2.04	9.01E-08	0.005491901	Neuroendocrine_SS2
AC005082.1	2.94	9.01E-08	0.005491901	Neuroendocrine_SS2
AL117190.1	1.67	9.01E-08	0.005491901	Neuroendocrine_SS2
AC010327.4	3.01	9.01E-08	0.005491901	Neuroendocrine_SS2
SNORD114-3	1.42	9.01E-08	0.005491901	Neuroendocrine_SS2
AL139240.1	0.91	9.01E-08	0.005491901	Neuroendocrine_SS2
AKAIN1	2.8	9.01E-08	0.005491901	Neuroendocrine_SS2
MAP1LC3A	1.22	9.32E-08	0.00568005	Neuroendocrine_SS2
POT1-AS1	2.87	1.02E-07	0.006223019	Neuroendocrine_SS2
NUDT2	2.07	1.05E-07	0.006424137	Neuroendocrine_SS2
RUNDC3A-AS1	2.15	1.09E-07	0.006672856	Neuroendocrine_SS2
CTNND2	2.61	1.14E-07	0.006932751	Neuroendocrine_SS2
UBB	0.63	1.27E-07	0.007756914	Neuroendocrine_SS2
STX1A	1.46	1.31E-07	0.008017209	Neuroendocrine_SS2
C1orf122	1.23	1.34E-07	0.00817023	Neuroendocrine_SS2
LINC01977	2.93	1.40E-07	0.008539215	Neuroendocrine_SS2
AL445253.1	2.88	1.41E-07	0.008613593	Neuroendocrine_SS2
BIK	2.01	1.42E-07	0.008632482	Neuroendocrine_SS2
COX17	1.1	1.43E-07	0.008726678	Neuroendocrine_SS2
DSCAML1	2.24	1.48E-07	0.008998716	Neuroendocrine_SS2
LSM7	0.87	1.59E-07	0.009704586	Neuroendocrine_SS2
RPL21P28	0.63	1.78E-07	0.01085277	Neuroendocrine_SS2
SYN1	0.4	1.85E-07	0.011276462	Neuroendocrine_SS2
PIGP	1.21	1.96E-07	0.011939107	Neuroendocrine_SS2
ATP5MD	0.8	1.98E-07	0.012088817	Neuroendocrine_SS2
FBLL1	1.93	2.05E-07	0.01249502	Neuroendocrine_SS2
TMEM61	1.78	2.07E-07	0.012629523	Neuroendocrine_SS2
TCEAL4	1	2.08E-07	0.01266144	Neuroendocrine_SS2
MT-ND2	0.53	2.19E-07	0.013363333	Neuroendocrine_SS2
MAP6	1	2.33E-07	0.014184391	Neuroendocrine_SS2
SCGB2A1	0.99	2.38E-07	0.014491039	Neuroendocrine_SS2
AKR7A2	1.08	2.41E-07	0.014696074	Neuroendocrine_SS2
DNAJC22	2.46	2.42E-07	0.014729964	Neuroendocrine_SS2
PDGFB	2	2.42E-07	0.014734109	Neuroendocrine_SS2
ST3GAL4	1.35	2.48E-07	0.015128897	Neuroendocrine_SS2
GALNT13	1.99	2.50E-07	0.015257416	Neuroendocrine_SS2
RGS4	3.2	2.59E-07	0.015776228	Neuroendocrine_SS2
MDK	1.43	2.60E-07	0.015855742	Neuroendocrine_SS2
BMP5	2.48	2.62E-07	0.015981554	Neuroendocrine_SS2
ANP32E	1.25	2.64E-07	0.016112074	Neuroendocrine_SS2
NRSN2	1.22	2.67E-07	0.016250756	Neuroendocrine_SS2
CD164	1.11	2.77E-07	0.016884967	Neuroendocrine_SS2
INPPL1	1.18	2.80E-07	0.017083982	Neuroendocrine_SS2
APOL4	3.08	2.88E-07	0.017530533	Neuroendocrine_SS2
WNK3	2.67	3.00E-07	0.018268399	Neuroendocrine_SS2
MYOM1	2.42	3.09E-07	0.018863419	Neuroendocrine_SS2
OLFM3	1.98	3.13E-07	0.019075724	Neuroendocrine_SS2
CLCNKA	2.91	3.16E-07	0.019296497	Neuroendocrine_SS2
NSA2	1.31	3.33E-07	0.020301567	Neuroendocrine_SS2
PPIB	0.73	3.34E-07	0.020334992	Neuroendocrine_SS2
ASPHD2	1.76	3.37E-07	0.020569289	Neuroendocrine_SS2
MHENCR	1.92	3.41E-07	0.020794246	Neuroendocrine_SS2
IGFBP5	0.97	3.46E-07	0.021095531	Neuroendocrine_SS2
BSG	1.02	3.47E-07	0.021168492	Neuroendocrine_SS2
UQCRB	0.86	3.51E-07	0.021381795	Neuroendocrine_SS2
ZBTB47	2.2	3.58E-07	0.021850817	Neuroendocrine_SS2
KCNB2	1.43	3.62E-07	0.022086362	Neuroendocrine_SS2
DPM3	0.85	3.67E-07	0.022393608	Neuroendocrine_SS2
MTCO1P40	0.35	3.79E-07	0.023102308	Neuroendocrine_SS2
PSIP1	1.03	3.88E-07	0.023655594	Neuroendocrine_SS2
KIF5C	0.87	3.91E-07	0.023820585	Neuroendocrine_SS2
SLC6A17	1.55	3.95E-07	0.024093707	Neuroendocrine_SS2
PLOD2	1.29	4.10E-07	0.024991439	Neuroendocrine_SS2
SPINT2	0.8	4.22E-07	0.025726054	Neuroendocrine_SS2
AL590426.2	2.51	4.34E-07	0.026486399	Neuroendocrine_SS2
GAD1	1.63	4.38E-07	0.026725312	Neuroendocrine_SS2
DCLK2	2.33	4.52E-07	0.027580853	Neuroendocrine_SS2
EPHA5-AS1	1.73	4.53E-07	0.027640409	Neuroendocrine_SS2
AOC3	2.21	4.54E-07	0.027696024	Neuroendocrine_SS2
SNHG9	0.71	4.59E-07	0.028005043	Neuroendocrine_SS2
SNPH	1.49	4.69E-07	0.028601315	Neuroendocrine_SS2
GAPDH	0.64	4.75E-07	0.02895136	Neuroendocrine_SS2
PDHB	0.63	4.94E-07	0.030113056	Neuroendocrine_SS2
HLA-C	1.06	4.97E-07	0.030290154	Neuroendocrine_SS2
STXBP5	0.89	4.98E-07	0.030358455	Neuroendocrine_SS2
ADCY1	3.08	5.10E-07	0.03107839	Neuroendocrine_SS2
GDI1	1.01	5.19E-07	0.03162624	Neuroendocrine_SS2
TNFRSF25	2.38	5.28E-07	0.032183101	Neuroendocrine_SS2
AC245060.5	1.2	5.62E-07	0.034276378	Neuroendocrine_SS2
CA11	1.77	5.71E-07	0.034837694	Neuroendocrine_SS2
R3HDM2	0.81	5.76E-07	0.035089687	Neuroendocrine_SS2
VWDE	2.09	5.94E-07	0.036229178	Neuroendocrine_SS2
TMEM51	1.31	6.02E-07	0.036691898	Neuroendocrine_SS2
CHN2	1.98	6.29E-07	0.038324207	Neuroendocrine_SS2
NDUFB6	0.79	6.41E-07	0.039075111	Neuroendocrine_SS2
C17orf100	1.62	6.75E-07	0.041148623	Neuroendocrine_SS2
HMGN2P3	1.14	6.77E-07	0.041258349	Neuroendocrine_SS2
SLC9B2	2.56	7.06E-07	0.043029958	Neuroendocrine_SS2
STK32A	1.3	7.22E-07	0.04400018	Neuroendocrine_SS2
RPL15	0.64	7.23E-07	0.044053165	Neuroendocrine_SS2
ELF5	3.03	7.25E-07	0.044197292	Neuroendocrine_SS2
MRPS33	1.35	7.32E-07	0.044616204	Neuroendocrine_SS2
MRPL34	1.18	7.70E-07	0.046942117	Neuroendocrine_SS2
PCDH10	1.35	7.71E-07	0.047035988	Neuroendocrine_SS2
COX7A2	0.76	7.74E-07	0.047177069	Neuroendocrine_SS2
RPL36	0.66	7.98E-07	0.048683378	Neuroendocrine_SS2
CTNNA2	3.26	8.05E-07	0.04909974	Neuroendocrine_SS2
MT-ND5	0.43	8.12E-07	0.04950293	Neuroendocrine_SS2
AGER	4.42	0	0	Alveolar Epithelial Type 1
EMP2	3.46	0	0	Alveolar Epithelial Type 1
CAV1	3.17	0	0	Alveolar Epithelial Type 1
RTKN2	2.49	0	0	Alveolar Epithelial Type 1
MYL9	2.31	0	0	Alveolar Epithelial Type 1
SPOCK2	2.23	0	0	Alveolar Epithelial Type 1
ANXA3	2.19	0	0	Alveolar Epithelial Type 1
S100A4	2.16	0	0	Alveolar Epithelial Type 1
IL32	2.15	0	0	Alveolar Epithelial Type 1
TIMP3	2.12	0	0	Alveolar Epithelial Type 1
S100A10	2.06	0	0	Alveolar Epithelial Type 1
TSPAN13	2	0	0	Alveolar Epithelial Type 1
RGCC	2	0	0	Alveolar Epithelial Type 1
CLDN18	1.99	0	0	Alveolar Epithelial Type 1
CAV2	1.99	0	0	Alveolar Epithelial Type 1
TNNC1	1.98	0	0	Alveolar Epithelial Type 1
LMO7	1.95	0	0	Alveolar Epithelial Type 1
UPK3B	1.93	0	0	Alveolar Epithelial Type 1
CLIC3	1.92	0	0	Alveolar Epithelial Type 1
SCEL	1.88	0	0	Alveolar Epithelial Type 1
SLC39A8	1.82	0	0	Alveolar Epithelial Type 1
KRT7	1.79	0	0	Alveolar Epithelial Type 1
CYP4B1	1.79	0	0	Alveolar Epithelial Type 1
AQP4	1.78	0	0	Alveolar Epithelial Type 1
RAB11FIP1	1.66	0	0	Alveolar Epithelial Type 1
CD55	1.65	0	0	Alveolar Epithelial Type 1
KLF6	1.64	0	0	Alveolar Epithelial Type 1
GPRC5A	1.55	0	0	Alveolar Epithelial Type 1
PCYOX1	1.54	0	0	Alveolar Epithelial Type 1
KRT18	1.54	0	0	Alveolar Epithelial Type 1
GAS6	1.53	0	0	Alveolar Epithelial Type 1
CD151	1.49	0	0	Alveolar Epithelial Type 1
MYL12A	1.39	0	0	Alveolar Epithelial Type 1
MGLL	1.35	0	0	Alveolar Epithelial Type 1
ACTB	1.3	0	0	Alveolar Epithelial Type 1
APLP2	1.23	0	0	Alveolar Epithelial Type 1
RDX	1.27	0	0	Alveolar Epithelial Type 1
PLLP	1.4	0	3.00E-307	Alveolar Epithelial Type 1
CLIC5	1.58	0	1.97E-304	Alveolar Epithelial Type 1
SEMA3B	1.52	4.75E-305	1.26E-300	Alveolar Epithelial Type 1
SBDS	1.09	4.65E-287	1.23E-282	Alveolar Epithelial Type 1
CD47	1.12	1.70E-283	4.49E-279	Alveolar Epithelial Type 1
ANOS1	1.46	1.27E-277	3.37E-273	Alveolar Epithelial Type 1
SPARC	1.55	5.76E-273	1.53E-268	Alveolar Epithelial Type 1
PDLIM2	1.31	8.64E-273	2.29E-268	Alveolar Epithelial Type 1
VEGFA	1.41	2.62E-269	6.93E-265	Alveolar Epithelial Type 1
HPCAL1	1.29	3.03E-265	8.04E-261	Alveolar Epithelial Type 1
LIMCH1	1.21	2.59E-261	6.86E-257	Alveolar Epithelial Type 1
CADM1	1.31	4.72E-260	1.25E-255	Alveolar Epithelial Type 1
CYR61	2.03	7.53E-260	2.00E-255	Alveolar Epithelial Type 1
NCKAP5	1.28	3.04E-257	8.06E-253	Alveolar Epithelial Type 1
SDCBP	0.96	2.79E-251	7.39E-247	Alveolar Epithelial Type 1
EPCAM	1	2.46E-245	6.52E-241	Alveolar Epithelial Type 1
ICAM1	1.63	1.33E-242	3.53E-238	Alveolar Epithelial Type 1
FOLR1	1.24	8.31E-242	2.20E-237	Alveolar Epithelial Type 1
HBEGF	1.62	8.36E-236	2.22E-231	Alveolar Epithelial Type 1
HOPX	1.52	4.47E-233	1.18E-228	Alveolar Epithelial Type 1
FAM105A	1.26	1.84E-230	4.87E-226	Alveolar Epithelial Type 1
UNC13D	1.12	8.72E-229	2.31E-224	Alveolar Epithelial Type 1
MYO1C	0.98	6.58E-228	1.74E-223	Alveolar Epithelial Type 1
MYL6	0.86	1.51E-227	3.99E-223	Alveolar Epithelial Type 1
ARHGEF26	1.22	6.02E-226	1.60E-221	Alveolar Epithelial Type 1
WFS1	1.24	4.49E-225	1.19E-220	Alveolar Epithelial Type 1
SUSD2	1.33	7.72E-225	2.05E-220	Alveolar Epithelial Type 1
B2M	0.92	1.15E-224	3.03E-220	Alveolar Epithelial Type 1
EFEMP1	1.07	1.90E-222	5.04E-218	Alveolar Epithelial Type 1
CEACAM6	1.53	1.41E-220	3.74E-216	Alveolar Epithelial Type 1
PTRF	1.35	6.20E-217	1.64E-212	Alveolar Epithelial Type 1
ADIRF	1.27	1.45E-216	3.84E-212	Alveolar Epithelial Type 1
PHLDB2	1.1	6.41E-215	1.70E-210	Alveolar Epithelial Type 1
C12orf49	1.02	8.42E-215	2.23E-210	Alveolar Epithelial Type 1
TNFRSF12A	1.38	3.28E-212	8.69E-208	Alveolar Epithelial Type 1
PRSS8	1.1	2.36E-209	6.25E-205	Alveolar Epithelial Type 1
CD9	0.96	7.83E-208	2.07E-203	Alveolar Epithelial Type 1
EPB41L5	1.05	1.67E-207	4.41E-203	Alveolar Epithelial Type 1
DUSP1	1.31	3.01E-207	7.98E-203	Alveolar Epithelial Type 1
NDNF	1.13	4.39E-207	1.16E-202	Alveolar Epithelial Type 1
EFNA1	1.18	7.62E-207	2.02E-202	Alveolar Epithelial Type 1
ARPC5	0.85	8.99E-206	2.38E-201	Alveolar Epithelial Type 1
GGTLC1	1.32	8.87E-202	2.35E-197	Alveolar Epithelial Type 1
MT1E	2.11	2.80E-201	7.41E-197	Alveolar Epithelial Type 1
C1orf198	0.98	8.41E-201	2.23E-196	Alveolar Epithelial Type 1
AHNAK	0.95	1.23E-199	3.25E-195	Alveolar Epithelial Type 1
TNS1	0.97	1.73E-198	4.58E-194	Alveolar Epithelial Type 1
COL12A1	1.05	2.11E-198	5.59E-194	Alveolar Epithelial Type 1
FHL1	1.44	3.25E-198	8.60E-194	Alveolar Epithelial Type 1
VSIG2	0.96	3.91E-198	1.04E-193	Alveolar Epithelial Type 1
COL4A2	1.03	7.88E-197	2.09E-192	Alveolar Epithelial Type 1
MYADM	1.12	2.59E-196	6.87E-192	Alveolar Epithelial Type 1
ITGA3	1.03	7.67E-195	2.03E-190	Alveolar Epithelial Type 1
NEDD9	1.15	5.70E-193	1.51E-188	Alveolar Epithelial Type 1
DSTN	0.84	8.74E-193	2.32E-188	Alveolar Epithelial Type 1
PLS3	1.02	2.90E-192	7.69E-188	Alveolar Epithelial Type 1
ITGB1	0.83	6.02E-192	1.59E-187	Alveolar Epithelial Type 1
FSTL3	1.19	7.61E-192	2.02E-187	Alveolar Epithelial Type 1
ABCA1	1.07	9.23E-192	2.44E-187	Alveolar Epithelial Type 1
MYL12B	0.8	5.15E-190	1.36E-185	Alveolar Epithelial Type 1
CST6	1.46	8.66E-188	2.29E-183	Alveolar Epithelial Type 1
TUBB6	1.06	1.21E-187	3.20E-183	Alveolar Epithelial Type 1
ANXA2	1	3.40E-185	9.01E-181	Alveolar Epithelial Type 1
CAPN2	0.84	1.54E-184	4.08E-180	Alveolar Epithelial Type 1
NKX2-1	1.17	3.05E-184	8.07E-180	Alveolar Epithelial Type 1
RNH1	0.72	8.18E-184	2.17E-179	Alveolar Epithelial Type 1
CXADR	0.86	4.71E-183	1.25E-178	Alveolar Epithelial Type 1
MS4A15	1.31	5.81E-183	1.54E-178	Alveolar Epithelial Type 1
FADS3	1.03	5.82E-183	1.54E-178	Alveolar Epithelial Type 1
EHD2	0.95	3.46E-182	9.16E-178	Alveolar Epithelial Type 1
MT1X	1.91	3.94E-180	1.04E-175	Alveolar Epithelial Type 1
TAGLN	1.5	1.35E-179	3.59E-175	Alveolar Epithelial Type 1
CPM	1.29	1.66E-179	4.40E-175	Alveolar Epithelial Type 1
ANKRD29	1.02	4.94E-178	1.31E-173	Alveolar Epithelial Type 1
TPM4	0.94	1.15E-177	3.04E-173	Alveolar Epithelial Type 1
ITLN2	1.07	1.42E-177	3.75E-173	Alveolar Epithelial Type 1
RHOA	0.72	1.12E-176	2.96E-172	Alveolar Epithelial Type 1
COL4A1	0.97	7.60E-176	2.01E-171	Alveolar Epithelial Type 1
UBC	1.03	1.39E-175	3.67E-171	Alveolar Epithelial Type 1
CFL2	0.93	2.32E-175	6.15E-171	Alveolar Epithelial Type 1
GPM6A	0.97	1.70E-172	4.50E-168	Alveolar Epithelial Type 1
RAB32	1.04	1.52E-171	4.04E-167	Alveolar Epithelial Type 1
FLNA	1.01	2.30E-171	6.08E-167	Alveolar Epithelial Type 1
PAPSS2	0.98	7.73E-171	2.05E-166	Alveolar Epithelial Type 1
CFLAR	0.88	1.88E-170	4.97E-166	Alveolar Epithelial Type 1
MYO1B	0.84	4.54E-170	1.20E-165	Alveolar Epithelial Type 1
CRYAB	1.32	3.72E-169	9.85E-165	Alveolar Epithelial Type 1
SFTA1P	1.33	2.68E-168	7.10E-164	Alveolar Epithelial Type 1
PNPLA2	0.71	1.05E-166	2.79E-162	Alveolar Epithelial Type 1
TSPAN4	0.97	4.69E-166	1.24E-161	Alveolar Epithelial Type 1
LRRFIP1	0.82	1.47E-165	3.89E-161	Alveolar Epithelial Type 1
LEPROT	0.77	1.05E-164	2.77E-160	Alveolar Epithelial Type 1
ATF3	1.3	1.84E-164	4.88E-160	Alveolar Epithelial Type 1
ABLIM1	0.78	2.80E-163	7.41E-159	Alveolar Epithelial Type 1
SULT1A1	0.9	4.48E-163	1.19E-158	Alveolar Epithelial Type 1
RNASE1	1.07	9.73E-161	2.58E-156	Alveolar Epithelial Type 1
MAP7D1	0.88	1.12E-160	2.98E-156	Alveolar Epithelial Type 1
TGFBR2	0.86	4.37E-160	1.16E-155	Alveolar Epithelial Type 1
LAMA3	0.95	1.38E-159	3.65E-155	Alveolar Epithelial Type 1
ID3	1.17	6.04E-159	1.60E-154	Alveolar Epithelial Type 1
TMOD3	0.7	2.82E-158	7.47E-154	Alveolar Epithelial Type 1
CALM2	0.81	1.50E-156	3.96E-152	Alveolar Epithelial Type 1
SGCE	0.86	8.06E-156	2.13E-151	Alveolar Epithelial Type 1
RRAS	0.81	1.47E-155	3.91E-151	Alveolar Epithelial Type 1
TBC1D2	0.85	2.12E-155	5.61E-151	Alveolar Epithelial Type 1
EPS8L2	0.82	2.91E-155	7.71E-151	Alveolar Epithelial Type 1
C10orf54	0.76	2.92E-155	7.74E-151	Alveolar Epithelial Type 1
SPRYD7	0.85	3.34E-154	8.86E-150	Alveolar Epithelial Type 1
ARL6IP5	0.68	8.92E-154	2.36E-149	Alveolar Epithelial Type 1
SLC40A1	0.9	4.13E-153	1.09E-148	Alveolar Epithelial Type 1
SEMA5A	1.01	6.19E-153	1.64E-148	Alveolar Epithelial Type 1
RABAC1	0.68	1.43E-152	3.78E-148	Alveolar Epithelial Type 1
PTPN1	0.85	2.80E-152	7.41E-148	Alveolar Epithelial Type 1
PON2	0.62	5.23E-152	1.38E-147	Alveolar Epithelial Type 1
MATN3	0.86	8.72E-152	2.31E-147	Alveolar Epithelial Type 1
PGM1	0.76	2.20E-150	5.84E-146	Alveolar Epithelial Type 1
DPYSL2	0.98	3.35E-149	8.88E-145	Alveolar Epithelial Type 1
SIK1	0.9	2.29E-148	6.06E-144	Alveolar Epithelial Type 1
GJA1	1.06	2.51E-148	6.66E-144	Alveolar Epithelial Type 1
UBL3	0.78	2.91E-148	7.70E-144	Alveolar Epithelial Type 1
SSFA2	0.76	3.82E-148	1.01E-143	Alveolar Epithelial Type 1
HCFC1R1	0.75	4.56E-148	1.21E-143	Alveolar Epithelial Type 1
PDPN	0.99	6.87E-148	1.82E-143	Alveolar Epithelial Type 1
HEG1	0.87	8.98E-148	2.38E-143	Alveolar Epithelial Type 1
TES	0.73	5.39E-147	1.43E-142	Alveolar Epithelial Type 1
ISG20	0.76	4.76E-146	1.26E-141	Alveolar Epithelial Type 1
SESTD1	0.8	2.57E-145	6.81E-141	Alveolar Epithelial Type 1
SDC1	0.91	5.02E-145	1.33E-140	Alveolar Epithelial Type 1
MALAT1	1.13	5.54E-145	1.47E-140	Alveolar Epithelial Type 1
ADRB2	0.99	7.11E-145	1.88E-140	Alveolar Epithelial Type 1
LMNA	1	1.17E-144	3.10E-140	Alveolar Epithelial Type 1
SP100	0.67	7.47E-144	1.98E-139	Alveolar Epithelial Type 1
TSPAN15	0.6	1.63E-143	4.32E-139	Alveolar Epithelial Type 1
ACTN4	0.65	2.50E-142	6.62E-138	Alveolar Epithelial Type 1
CCDC107	0.61	5.99E-142	1.59E-137	Alveolar Epithelial Type 1
CYBRD1	0.82	1.51E-141	4.00E-137	Alveolar Epithelial Type 1
PARP14	0.9	4.35E-141	1.15E-136	Alveolar Epithelial Type 1
SCD5	0.71	4.91E-141	1.30E-136	Alveolar Epithelial Type 1
DAPK2	0.96	6.69E-141	1.77E-136	Alveolar Epithelial Type 1
SPINT2	0.67	1.53E-140	4.06E-136	Alveolar Epithelial Type 1
CLTB	0.67	2.17E-140	5.75E-136	Alveolar Epithelial Type 1
F11R	0.67	3.04E-140	8.05E-136	Alveolar Epithelial Type 1
RASSF7	0.65	4.09E-140	1.08E-135	Alveolar Epithelial Type 1
COL4A3	0.86	4.17E-139	1.10E-134	Alveolar Epithelial Type 1
FN1	0.85	5.67E-139	1.50E-134	Alveolar Epithelial Type 1
NEDD4L	0.76	6.76E-139	1.79E-134	Alveolar Epithelial Type 1
SNAP23	0.67	1.20E-137	3.17E-133	Alveolar Epithelial Type 1
FARP1	0.56	1.36E-137	3.60E-133	Alveolar Epithelial Type 1
RBP1	0.97	1.59E-137	4.22E-133	Alveolar Epithelial Type 1
PLEKHA1	0.72	2.18E-137	5.78E-133	Alveolar Epithelial Type 1
CYSTM1	0.86	2.81E-137	7.43E-133	Alveolar Epithelial Type 1
CXCL16	0.65	4.77E-137	1.26E-132	Alveolar Epithelial Type 1
TNFRSF1A	0.7	4.96E-137	1.31E-132	Alveolar Epithelial Type 1
ARAP2	0.75	1.74E-136	4.60E-132	Alveolar Epithelial Type 1
TOR1AIP2	0.66	2.37E-135	6.28E-131	Alveolar Epithelial Type 1
HSD17B6	1.19	2.62E-135	6.93E-131	Alveolar Epithelial Type 1
WWC2	0.82	3.95E-135	1.05E-130	Alveolar Epithelial Type 1
TIMP2	0.88	4.62E-135	1.22E-130	Alveolar Epithelial Type 1
B3GNT2	0.71	4.63E-135	1.23E-130	Alveolar Epithelial Type 1
PLEKHO1	0.85	1.26E-134	3.33E-130	Alveolar Epithelial Type 1
STX12	0.62	1.26E-134	3.34E-130	Alveolar Epithelial Type 1
CRIP2	0.85	7.22E-134	1.91E-129	Alveolar Epithelial Type 1
PRKCZ	0.73	1.38E-133	3.66E-129	Alveolar Epithelial Type 1
TMEM265	0.73	1.47E-133	3.90E-129	Alveolar Epithelial Type 1
DLC1	1.02	2.14E-133	5.67E-129	Alveolar Epithelial Type 1
ARRB1	0.7	2.97E-133	7.86E-129	Alveolar Epithelial Type 1
SPINT1	0.74	3.59E-133	9.52E-129	Alveolar Epithelial Type 1
MAP2	0.77	1.13E-132	2.99E-128	Alveolar Epithelial Type 1
ACTG1	0.74	7.86E-132	2.08E-127	Alveolar Epithelial Type 1
KRT8	0.96	9.11E-132	2.41E-127	Alveolar Epithelial Type 1
TMEM50A	0.49	1.23E-131	3.26E-127	Alveolar Epithelial Type 1
TXNDC11	0.71	1.38E-131	3.67E-127	Alveolar Epithelial Type 1
CNN2	0.6	1.70E-131	4.49E-127	Alveolar Epithelial Type 1
TMEM160	0.6	2.19E-131	5.81E-127	Alveolar Epithelial Type 1
COL8A1	0.78	1.54E-130	4.07E-126	Alveolar Epithelial Type 1
UTRN	0.7	1.13E-129	3.00E-125	Alveolar Epithelial Type 1
PDXK	0.58	1.39E-129	3.68E-125	Alveolar Epithelial Type 1
DST	1.03	1.63E-129	4.32E-125	Alveolar Epithelial Type 1
PLEKHJ1	0.61	2.03E-129	5.38E-125	Alveolar Epithelial Type 1
MYRF	0.77	9.31E-129	2.47E-124	Alveolar Epithelial Type 1
NEBL	0.65	1.84E-128	4.87E-124	Alveolar Epithelial Type 1
SPTBN1	0.79	1.94E-128	5.13E-124	Alveolar Epithelial Type 1
DENND3	0.77	2.03E-128	5.39E-124	Alveolar Epithelial Type 1
MT1G	2.19	5.42E-128	1.44E-123	Alveolar Epithelial Type 1
PVRL2	0.59	5.44E-128	1.44E-123	Alveolar Epithelial Type 1
HSPG2	0.77	8.23E-128	2.18E-123	Alveolar Epithelial Type 1
PARD6B	0.81	2.11E-127	5.58E-123	Alveolar Epithelial Type 1
PCBP1	0.45	8.55E-127	2.26E-122	Alveolar Epithelial Type 1
EVA1A	0.79	5.19E-126	1.37E-121	Alveolar Epithelial Type 1
ILK	0.59	6.64E-126	1.76E-121	Alveolar Epithelial Type 1
RAB31	0.75	9.11E-126	2.41E-121	Alveolar Epithelial Type 1
